12,-12,-12,4,2
16,16
17,16
18,16
19,16
20,16
21,16
22,16
23,16
23,17
23,18
23,19
24,19
25,19
26,19
27,19
27,18
27,17
27,16
27,15
28,15
29,15
30,15
31,15
32,15
33,15
34,15
35,15
36,15
37,15
38,15
39,15
40,15
41,15
42,15
43,15
43,16
43,17
43,18
43,19
44,19
45,19
46,19
47,19
47,18
47,17
47,16
47,15
48,15
49,15
50,15
51,15
52,15
53,15
54,15
55,15
56,15
57,15
58,15
59,15
60,15
61,15
62,15
63,15
63,16
63,17
63,18
63,19
64,19
65,19
66,19
67,19
67,18
67,17
67,16
67,15
68,15
69,15
70,15
71,15
72,15
73,15
74,15
75,15
76,15
77,15
78,15
79,15
80,15
81,15
82,15
83,15
84,15
85,15
86,15
86,16
