5770,4642,5340,5792,4419,5463,5761,4740,5058,5590,4616,4784,6713,5042,4845,5138,5805,5585,5934,4749,5485,4572,5170,5491,5229,5097,5675,5014,6581,6144,5081,6038,5246,5303,5178,6082,4843,7380,6026,8971,5293,5208,4928,4796,4785,5656,5424,5967,5883,5718,4608,5565,6329,6031,5940,4890,5170,6106,4644,8425,6150,5701,5793,5131,4981,4783,5172,5790,5306,5032,4844,4540,5052,5634,4789,5643,5386,5350,4766,5565,7466,5534,5113,5114,4904,5966,5323,5543,5420,5480,4694,6168,6054,5195,6097,5131,6136,6045,5060,5608,
9453,10392,7978,16333,13627,11058,10716,9771,8758,11299,8907,9312,9843,10843,16937,11213,10719,9181,9414,10633,9792,9974,8719,9370,9419,9097,9618,10193,10476,9849,10208,16193,11330,10588,11111,9664,9006,11041,9919,10716,8947,9565,8920,8488,9366,8238,8489,9460,8090,7843,9212,9959,10638,9097,7641,9025,9129,9598,8380,8003,7992,9641,11278,9858,9184,9862,10555,10804,9896,9144,9756,9321,10625,8805,11129,10033,12886,9489,9446,8951,7957,10835,9666,8404,8347,11785,7916,9294,8291,16233,12329,15582,15021,13371,13722,16417,12119,15379,22606,22446,
49400,35651,29433,29903,27258,30584,37171,28140,39100,32882,33682,30627,37893,27103,27335,24917,27546,40958,47212,40674,40376,39041,29064,27035,26358,26907,55177,32465,40975,35843,35194,34584,29918,27894,26450,24874,28372,26412,34030,50255,36785,33832,32510,27453,25286,32326,36622,25702,27386,26606,28321,25579,24142,26587,34362,36033,34542,28088,37617,26178,26364,25475,27355,27147,27223,26526,25996,31268,31017,34360,35489,24756,28481,26956,33183,32449,34525,28677,29883,26430,24023,25370,25637,25545,26848,27418,23670,27375,25955,25887,24608,25025,27728,24696,34692,26066,41536,31794,30807,29356,
67767,45169,49944,46361,42569,46638,57598,53861,58306,49243,46582,45467,45905,60948,59748,55509,53623,44613,44600,50517,48531,47082,53630,48320,49538,41369,43445,42618,51904,43441,49286,50442,46918,44783,43109,47546,44558,43788,51549,49927,43538,51864,49359,45702,42197,43862,44135,42848,48148,46776,49063,47668,45240,45302,45272,50831,44602,39660,46808,45120,49545,41352,53629,51623,47722,47895,49929,44920,48749,46050,48907,48702,46676,46002,41690,43485,49124,43913,49864,45784,48507,46682,43981,46829,46673,44440,47922,46260,42972,44498,49255,45921,45544,45753,49169,45948,47779,47431,48722,52972,
97175,93485,103552,96809,110643,89660,89131,96634,92304,95262,93593,94503,100602,94569,88786,88319,93929,91811,88784,117892,92593,96298,95247,96763,96977,96832,91728,95899,92308,97303,90687,90345,102828,96777,91475,92763,98014,103326,95632,101819,102000,99752,99719,104990,99604,104807,95472,90914,103673,86050,105735,95196,104206,91984,122131,115113,96737,100009,125830,101420,101269,95027,116899,93598,95311,101383,92743,107249,104331,96432,90118,110016,100030,107903,133355,99799,94061,123496,103008,91518,105685,96971,105453,93357,98194,86784,95173,93295,99545,95330,95829,101489,196939,94413,92510,89264,105359,97993,103596,99617,
174124,155570,186580,170268,184538,179173,164890,165983,202268,183007,177032,161961,154648,200849,171260,190611,176920,159518,166681,192905,194650,166607,191737,212392,172521,206907,168146,208250,187995,185512,200157,177946,196368,195499,199384,168022,199054,191770,166366,206257,196971,161496,159278,185001,174363,178403,193589,229824,163584,202488,205511,200596,193838,203194,175034,172051,202780,182539,208162,165341,169548,164651,210019,175600,164472,160054,179240,200390,193304,193177,175502,187834,199743,161837,167480,171572,182648,192492,202561,190913,204642,199677,180102,198241,160255,204314,171360,187306,200685,162276,201103,168953,168026,167397,179751,195817,166631,169650,173428,200814,
