8818,10882,10214,8621,10192,11845,8794,8244,8990,8077,7957,8843,9327,8480,9549,7959,8414,7815,7581,6604,7554,7896,8501,9561,9142,11285,14571,8112,10040,8249,9069,9762,11477,8538,10002,10983,9700,8954,9089,9702,8198,11095,11653,10502,9089,8913,8706,9671,8130,8776,8636,7464,10929,11009,10379,9551,8194,7299,9544,8946,8201,7853,7618,8023,8341,9270,7817,7309,8994,8782,9491,7748,7538,7984,8738,7346,9998,7790,7817,7968,7514,7958,8424,7075,7704,9660,7972,7856,7985,8062,8141,7578,10704,11831,9451,9944,8609,9178,8740,7125,
11315,9475,9357,10610,9233,9630,10309,9121,9801,9343,9549,11979,11342,10112,10217,11563,10112,10747,10151,9647,9445,10216,9179,10449,9690,11102,9991,11846,10437,11146,9488,12544,9174,8330,10204,10780,10569,10357,9925,10362,10342,9849,11641,12164,12096,15328,14430,15557,18599,17821,20217,16934,16789,13833,15284,14686,14368,15175,14150,9657,8954,9596,9766,10018,10031,10411,10055,10864,8841,9287,9507,9418,11039,9707,10042,10801,12757,14497,12414,13198,16116,19849,16020,19277,14199,15745,15301,14845,17452,15716,9347,9785,9551,9596,8860,9971,9807,9769,10552,11116,
31879,31146,28990,30120,29330,30597,33206,28235,30740,31310,28811,28415,29401,28821,30428,30202,31636,29777,28515,28581,30129,31162,27862,31124,29351,28837,27209,29675,28658,30191,31253,29808,29381,29952,28779,28097,29281,28861,32553,26840,32049,27966,28860,29771,30681,30520,29222,29308,27867,29249,30540,28368,29046,29654,29712,29777,31026,29050,29639,28652,27850,30097,29705,30238,28818,29732,27441,29949,30978,29796,29840,29000,28658,28765,28807,35840,29251,34299,34298,32799,40327,30763,27999,30868,30117,27894,32235,28524,30983,30075,26752,29340,28532,28941,31764,28853,27315,30213,30724,29458,
45406,44054,44880,44562,41331,47300,47668,45911,39951,43292,52043,42318,44383,45778,43973,46422,46492,54182,44250,40009,49607,58776,43593,44334,42607,43939,44262,45219,50089,44589,44915,44538,41408,44321,44633,41822,44750,42575,40704,44788,47289,41421,41524,45571,45907,44275,41696,58285,41521,42893,44075,44949,43370,42303,45428,45988,43339,42410,46280,42091,43822,41629,46787,44261,42212,59800,43734,42151,42708,42228,53893,44073,44084,44408,39974,40245,45577,43177,42298,42184,43023,47936,41558,44993,41882,41987,42550,44436,43974,39292,41886,45108,44566,39617,41915,44567,39049,43529,41352,43514,
123649,99911,108751,92816,99071,96266,97299,105705,104380,95995,104621,91666,94804,96795,95580,98506,100157,102139,99599,126236,101009,95382,97248,114365,110746,141108,113378,112513,127450,107873,98438,109113,96005,117274,97676,97898,99527,107543,92756,195480,119788,89961,97952,105771,96911,96541,139230,110998,123509,125282,105825,91174,88059,103162,95668,96284,95992,91564,101713,96739,118550,120155,94124,102740,96342,110196,108165,124524,103765,97312,95190,112084,89400,97409,103997,93602,93503,102241,112867,97452,104381,90477,102316,93204,109864,123551,121972,124046,110237,95545,90697,96066,110817,109742,103625,96123,108907,119250,100487,95939,
168804,154695,152978,159881,166197,149154,153734,154392,153678,145708,152328,152722,169330,163942,155934,155306,163166,145874,149480,146706,144275,147448,151000,147963,146160,150270,144937,140423,158669,155132,136626,145460,150488,153721,145048,159639,157454,153910,142925,160691,180095,171438,148201,144962,152837,158627,186308,197216,162011,165779,185994,151631,167499,185235,141190,165820,189621,159189,279472,172103,165035,147854,195588,140203,164134,160124,151966,168468,176058,146733,145450,182063,155419,148114,139351,164737,165348,146682,133681,155664,146626,155697,146308,155146,144806,143670,142535,139515,141868,158696,150064,137300,152594,142104,141849,136936,152217,156351,148416,146265,
