4896,4610,5990,5295,5357,4954,4326,5461,5236,5874,4894,4548,4618,4673,5111,5690,5474,5143,4428,4749,5201,4783,4510,4292,4568,5337,4301,7134,4683,4470,4771,5169,6793,4995,5716,6551,4832,6425,5936,5809,4853,5209,5756,6466,5819,5479,6096,5989,5020,4795,5919,4816,4371,5316,4652,6467,5137,5119,4493,3899,4873,4870,4320,6213,4213,4619,4771,6429,7675,5016,5072,4318,4494,4844,5352,5530,4817,4905,4561,4565,6385,4283,4544,4798,4758,4613,5951,5047,4920,5092,4976,4733,5910,6375,4822,4931,5479,4623,7902,7487,
7315,8756,8705,8502,8771,8224,10207,8166,7618,10895,12700,8598,10028,8258,8408,9890,8037,8070,8130,8333,9908,9741,13675,9346,10099,9608,9003,9001,12110,9534,8126,11643,9170,7578,8072,8138,8607,8150,7552,9474,8412,8043,7782,8749,8400,7828,8053,9861,8967,7231,9939,8608,7566,8498,9696,8077,7821,9398,8307,7917,8121,8843,10592,7862,8785,10901,7935,7536,8249,10185,8236,7621,10022,8532,7696,8374,8816,8949,7264,10485,8321,7999,7508,11402,11032,14059,10078,9189,7537,13046,10210,10919,9415,7419,8153,9086,8030,9784,9451,10126,
27542,24291,26714,25472,24562,26099,29564,28140,36709,22886,25136,27303,25980,34909,25371,27303,24944,25513,23894,28174,27705,24427,25389,26048,24906,33082,22913,24865,25795,30632,24579,27745,34542,31905,39080,34122,27251,27476,31079,26431,30724,28084,29195,23517,24308,24333,35130,41137,26058,24445,23206,37833,27945,26811,26069,31614,23620,25088,24206,24790,26745,31444,24877,25616,29074,25148,65199,36625,30291,26816,28798,35671,38887,27882,31267,27496,27185,26707,24368,27717,30756,32133,27029,43332,28178,27504,23229,29297,26876,28351,26131,32102,29860,28088,27678,28378,27649,28049,32775,27543,
46964,47086,43891,41179,40582,53688,46654,39503,50782,40461,44545,45495,60580,49652,45326,51184,45679,49878,43211,45110,48258,46667,44218,47987,44390,50682,51842,52715,48513,45022,41171,54879,50015,46482,46453,49191,51614,43167,51025,45800,46646,44876,47921,41455,66192,57408,54293,43594,64740,52751,51841,48203,41804,45008,42583,54046,67793,53169,45693,43559,45286,43660,43906,44052,51010,54997,44032,44969,46125,45570,47373,42193,42337,44229,46680,65121,61870,55371,55182,45389,44971,47594,44143,45796,47149,55616,63725,52534,60202,46116,42636,46872,40569,59010,44053,44787,39842,55190,45519,77984,
107020,98097,96030,100439,106814,91171,112845,111215,111420,131740,97788,108730,154038,90002,93249,117892,102294,93489,93642,96927,98584,100380,97475,93283,95804,92165,94946,94140,90546,96621,95400,94503,97013,90721,86743,100735,94963,93306,93545,97391,95247,96009,101110,115180,109883,159069,141088,124737,98872,92786,93448,106040,106989,93231,100058,97610,94022,91338,90964,103059,90889,94911,103316,96098,91948,91343,88096,86060,105286,92742,94781,93531,106891,88266,84624,84612,110575,93278,86018,93307,96609,87348,85496,94081,93634,89946,98921,108271,93641,106563,105426,92553,96946,92689,98194,106461,103972,119793,95025,88490,
202136,170840,212907,187194,171384,195773,164644,191304,186424,186496,163465,153909,174951,164422,156061,163825,286802,251435,219788,201963,281659,180562,176610,196653,208464,189648,195072,186307,167177,202609,155335,160718,185025,212974,191576,188736,198610,221647,212764,182649,185802,189390,167103,166770,184681,178330,178363,201242,224268,166060,212540,207369,180859,164880,160803,188784,177351,162849,180815,163825,186245,172631,174923,169291,178588,175017,189369,170414,173842,205986,163468,176552,158064,191749,175749,169088,170645,158617,206686,189770,157476,157901,164249,202067,158128,161522,159417,169569,167972,202955,181896,168812,159817,201784,221847,195191,191845,161918,165214,161101,
