13872,11730,8168,9759,10430,9022,9305,9890,7711,8826,12627,7999,7903,8003,8498,7674,8751,8056,7497,7485,8066,8777,7865,7056,8875,8538,8315,7316,8177,8903,8432,7820,9921,8123,7588,8619,8121,8517,7508,8426,8780,7170,7990,9155,8096,7187,13802,8670,7620,7992,8577,10287,7589,8602,9670,9081,7740,9380,7196,7828,7078,8505,10066,8351,10194,11721,8430,8864,9869,8244,7842,7978,9112,7788,8414,9100,8938,8521,10323,8032,9607,7490,8511,8312,7679,7843,8666,9379,7601,7488,9989,7098,7812,8058,8044,9129,8212,8068,10159,7528,
12135,12385,9470,11871,10112,9434,11183,9935,8589,9594,10344,8626,10293,11857,9779,8582,9773,9312,9310,10223,10535,9779,10558,8773,9571,10020,10321,9495,9033,9916,8522,9404,11279,9059,9027,10307,10131,9566,11298,9333,7288,10246,10518,8752,10635,11231,9677,9607,9797,9549,9120,11386,10365,9851,10076,10164,9121,9544,10176,10174,11643,12945,14639,10172,15733,11956,13877,11921,14813,10552,10259,10148,12533,10347,12107,13113,11745,13404,11656,9945,8825,10456,14576,13049,16078,11306,11409,11669,12257,11004,12859,13215,10654,10587,10496,10496,9045,11373,9910,9211,
32047,32762,32947,28483,31493,26677,30219,28919,30002,28901,30668,28180,29284,28410,28596,29412,27359,28722,28067,30956,28100,30199,28956,27339,29751,32840,29248,28486,28214,28729,27635,29857,29929,27403,28766,29861,29966,28550,28339,30330,26746,29397,28537,27936,27772,30313,29680,28417,29111,27630,30008,31163,28297,28239,28162,28037,26913,27628,30942,29523,36660,33009,41963,30243,30458,27755,30613,29723,27550,31751,28912,28401,27310,27589,29224,29197,28290,28617,29720,29575,28916,26193,28337,28120,29371,29279,24763,27849,29672,28067,27595,28818,29857,26962,28280,28497,29901,31016,29454,28200,
53850,46874,51762,46231,43435,43835,46560,47356,51131,46019,44376,40919,46394,51659,58046,48918,44509,41489,44877,40846,41690,49272,63346,45622,50759,40746,40025,47330,41982,39318,56853,42204,48589,48422,43085,45533,43843,40317,42497,45206,45316,45974,45112,42364,42620,54935,55482,45752,60949,44084,50353,50063,69141,39906,47373,41639,49299,49261,54867,46297,41937,43269,40855,43983,45151,44753,53245,61660,44778,47145,40783,39409,40043,42635,54257,43097,51703,64167,56075,53683,59964,48514,42285,40648,42159,45049,43386,42562,56892,53802,46376,41789,43097,43152,40715,39715,42953,42303,43807,39118,
100323,106714,106897,94084,96269,103340,109609,88952,92034,92186,89534,94876,109321,91325,95600,89976,138654,109013,102161,106572,116495,104461,129134,116675,97989,105440,93017,122209,95745,122850,99486,90116,95062,98927,98836,102391,103991,105058,94738,93486,91618,100519,115994,102231,109241,115563,96949,95189,135961,124275,108905,107448,92997,133701,91314,96588,108751,106262,129115,106921,94608,99864,114365,94121,97086,87645,95253,91841,91952,103078,96643,91428,98166,91911,132334,92609,109532,103821,90388,88193,85606,102301,112883,116756,91371,87188,100534,94426,94822,96539,89121,89144,100269,98112,99258,156701,95808,119728,95567,88406,
140382,146688,142140,145662,137146,142458,140925,146977,144399,142377,139696,140242,140180,152828,137824,147525,135414,154712,144797,136933,140498,140534,143283,135495,138921,142369,130587,135518,147962,139923,139308,156334,140145,142304,159728,186932,144982,132138,136030,145383,135711,135399,137827,138517,137209,136631,145024,137763,136925,138568,125769,142522,139936,137105,143201,134697,141351,138831,142202,135945,141905,141835,143254,141629,142904,138441,155365,130132,130987,144589,140133,145138,146085,140769,140672,137409,143169,134106,140668,146512,148140,138594,139608,137650,138405,145249,145599,130015,141294,139213,140203,144459,146598,139437,143256,136023,140051,131352,138605,144201,
