3273,3287,5591,3501,6307,3499,3150,3083,3590,5278,3582,4240,3125,3631,4091,3654,3275,4457,3304,3630,5160,5195,2906,3546,3614,3680,3318,3631,3563,3296,4396,3924,3542,3923,3041,3727,3489,3665,3751,4108,3135,3805,3854,3547,3122,3369,3277,3256,3282,3265,3941,3966,3529,3547,3510,6477,3604,3268,3945,3260,3684,3464,3748,3387,3971,3685,3424,2897,3145,3825,3087,3618,3747,3358,3607,3566,3412,3432,3292,3518,3783,3650,3515,3624,3409,3365,3575,3277,3949,3359,3852,5184,3196,4499,3373,3370,2786,4044,4057,3369,
4976,5732,5232,5156,4993,5885,4557,5763,5180,5160,6964,4709,5045,5358,5280,4840,5283,6047,5482,4931,4549,5831,6392,4244,5516,6299,4904,6555,5775,4702,5142,6559,7955,6751,4701,4776,5919,4945,5418,5500,5381,5297,4412,4643,4485,6050,4484,6810,6424,4765,4296,6131,4790,5880,8312,5387,5674,5009,5854,4971,4092,6315,5176,4528,5151,5388,5382,5810,5135,5158,5036,4963,4931,5054,5859,4714,6361,5069,4857,5801,4889,4636,4786,5371,5432,5637,5993,4578,5683,5343,4860,4763,7351,6309,4446,4782,4365,5332,5045,4580,
8463,7410,7237,8145,8070,6041,7205,7646,8273,7256,7177,6749,6227,6944,7338,7782,7078,8919,6353,6998,6231,6640,6550,7304,7021,6363,8193,10333,7415,6798,6946,6604,8624,6155,7490,6247,7971,6480,7499,6757,7978,7790,6104,6547,7480,7535,6576,7235,7141,7124,7312,6731,7577,6116,7815,6913,6962,7858,6602,7904,7357,7045,7849,9832,7742,6702,8695,7698,8184,9457,10855,10105,8284,12325,9056,11631,10334,9800,10584,9988,8275,13304,7895,7857,7303,7273,6805,7352,6922,6428,7922,6609,8417,8794,8960,7966,9621,8803,8628,7642,
13738,11468,10449,10197,13154,12504,11049,14744,15201,14745,11057,11601,10447,9890,8371,8897,10172,9677,10394,10731,12325,10860,17646,16062,13801,14213,13111,10961,12005,13938,13342,10494,10131,9782,8751,10788,10759,9215,10732,8978,11176,10272,7996,13190,13208,11276,10736,10339,11858,10114,9681,9899,14159,11282,10926,11952,10233,10191,11062,10535,10577,15185,9931,9146,10359,11112,8815,9805,9495,9965,9987,9299,10818,10387,11223,10038,9590,9041,10515,8758,9956,10460,9891,9785,9979,8269,9885,9950,10344,9822,8472,10664,9688,9359,10324,8260,10902,9410,10085,10328,
29085,23199,24231,20954,23027,22258,19444,26660,24060,20538,22503,20372,24628,25933,20260,20501,26154,21069,24114,20623,23716,22433,21995,20797,20017,23863,21276,28965,24952,23046,26035,25918,20837,21310,24337,19520,24476,26362,26262,21674,19802,20169,24560,22949,21639,24443,19814,24323,24046,26107,20036,22873,27399,24732,25794,26221,21022,21516,19373,26404,23183,24323,25499,32234,26275,22328,19408,26473,21963,20976,20497,19470,21891,33396,33312,29397,25208,22191,38466,30134,33095,42204,27129,27946,24167,22768,38072,28380,25637,22057,25969,34366,23641,25367,20805,25553,32160,22623,20404,19701,
30933,26661,27736,26774,28750,28988,29237,31442,28455,29795,28698,26736,28302,27953,30240,28152,27318,29161,27598,27474,27160,28477,30168,28771,29368,28859,31879,29848,27947,28402,29794,28304,30123,30138,31051,29533,28047,28494,30998,28292,29359,26756,29566,29629,29137,32600,27865,28878,28879,27881,29183,28527,28007,26048,27723,27448,28897,28039,30034,27384,29272,29934,31756,30313,28847,26974,29531,29770,27546,29596,29191,28159,27727,28013,27256,29975,27843,30097,28336,28617,29274,27950,29716,28152,29197,29842,30059,29469,30463,27905,29218,30745,31612,36322,30584,28498,28993,28739,29402,29189,
42172,42042,39930,43284,38032,39053,41095,45356,44481,43809,41069,40730,42759,38358,43227,46124,40249,39389,40571,40997,43069,53647,63495,56375,45591,41192,45814,40775,45848,42253,45908,42455,39930,44895,46465,42701,43169,45942,43501,44557,43206,44910,43270,42390,42661,45833,41827,43100,43531,43764,40582,42079,42113,46061,44755,42100,42518,42456,41334,40458,43540,39923,50191,40809,43797,43189,40131,43356,40285,40999,41226,38586,42413,41537,44203,48257,43566,43117,49357,45445,43766,45655,42370,46080,44525,43923,42378,41221,42701,45334,43067,42451,41699,46100,43111,40523,45610,41956,47531,41118,
60196,59171,58405,58740,55601,58091,56082,59484,60412,59097,57146,54040,58250,58307,56895,58084,59674,55859,53839,58545,53246,56989,52809,53200,59769,58557,65221,62063,62045,57286,53975,55704,59768,64104,57896,61347,65872,58061,52177,74114,74138,72725,56164,53515,57822,64580,60688,62800,74121,68349,59019,60756,59060,59933,59664,56900,57033,59406,60325,56056,56068,57918,57685,59977,58855,57089,57462,59248,56937,57189,68939,63859,58321,60326,60647,54845,57773,59281,54452,58244,60844,57710,54224,58138,58641,56536,58155,60240,60291,58763,63388,63014,60227,58769,59119,61164,63480,70671,66174,71670,
